scan,side,vessel,err,bed,meas_lost,clean,nout_clean,nout_bad,A,B,C,r_branch,branch_before_meas
3,right,RCA,T4,apport,False,0.7439851746793656,1.0,1.0,0.7575785890238455,0.7489967110334929,0.9959193119618385,,
9,right,RCA,T4,leaky,False,0.8333921527859107,2.0,2.0,0.8384136445763072,0.8792783888513288,0.9969853515949586,,
9,right,RCA,T4,share,False,0.8331459554068689,1.0,1.0,0.8415339517876812,0.8713279996998501,0.9967333397360825,,
9,right,RCA,T4,leaf3,False,0.8331459554068689,1.0,1.0,0.8415339517876812,0.8713279996998501,0.9967333397360825,,
9,right,RCA,T4,apport,False,0.8331459554068689,1.0,1.0,0.8415339517876812,0.8713279996998501,0.9967333397360825,,
14,left,LAD,T4,leaky,False,0.9730632825584061,7.0,6.0,0.9709631480723515,0.9768855527078772,0.9994008110722009,,
14,left,LAD,T4,share,True,,,,,,,,
14,left,LAD,T4,leaf3,True,,,,,,,,
14,left,LAD,T4,apport,True,,,,,,,,
14,right,RCA,T4,leaky,False,0.7961648288046496,3.0,3.0,0.79857044536942,0.774423116718779,0.9965462220308207,,
14,right,RCA,T4,share,False,0.7538413695584995,1.0,1.0,0.80739127327866,0.7203920222405693,0.9944301265924412,,
14,right,RCA,T4,leaf3,False,0.7538413695584995,1.0,1.0,0.80739127327866,0.7203920222405744,0.9944301265924412,,
14,right,RCA,T4,apport,False,0.7538413695584995,1.0,1.0,0.80739127327866,0.7203920222405693,0.9944301265924412,,
30,right,RCA,T1,leaky,False,0.7524249717706364,4.0,3.0,0.7970151886975126,0.7573337547571197,0.8209953176947153,1.0365602940824963,False
30,right,RCA,T1,share,False,0.7283005454439382,3.0,2.0,0.7975514219821771,0.7250283317701797,0.8314183937419223,1.0365602940824963,False
30,right,RCA,T1,leaf3,False,0.7333611566906757,3.0,2.0,0.8288691152281435,0.7260991367469106,0.8660195634595651,1.0365602940824963,False
30,right,RCA,T1,apport,False,0.7300889627295587,3.0,2.0,0.8094132856132893,0.7256681690719141,0.8459901574073002,1.0365602940824963,False
30,right,RCA,T4,leaky,False,0.7524249717706364,4.0,4.0,0.7438533455133609,0.7587894862727702,0.9973568009285515,,
30,right,RCA,T4,share,False,0.7283005454439382,3.0,2.0,0.7374954825713529,0.7073123076033475,0.9963553297247347,,
30,right,RCA,T4,leaf3,False,0.7333611566906757,3.0,2.0,0.7462202659656096,0.7227802414164137,0.9963746146340225,,
30,right,RCA,T4,apport,False,0.7300889627295587,3.0,2.0,0.7407706249990783,0.7150132202521788,0.9963698241846335,,
41,right,RCA,T4,leaky,False,0.7717776571448421,2.0,2.0,0.7618962860402829,0.7958916846656735,0.9968889359151345,,
41,right,RCA,T4,share,False,0.8464766696015037,1.0,1.0,0.9019692813448613,0.7330134751042718,0.9936509977058942,,
41,right,RCA,T4,leaf3,False,0.8464766696015037,1.0,1.0,0.9019692813448613,0.7330134751043097,0.9936509977058942,,
41,right,RCA,T4,apport,False,0.8464766696015037,1.0,1.0,0.9019692813446042,0.7330134751045585,0.9936509977059323,,
42,right,RCA,T1,leaky,False,0.8204584939007193,3.0,2.0,0.8859595583768004,0.8255458643464639,0.9028953760906601,0.9609154096326558,False
42,right,RCA,T1,share,False,0.8118590931663551,2.0,1.0,0.9121921561400825,0.8060305123702133,0.9301740952310232,0.9609154096326558,False
42,right,RCA,T1,leaf3,False,0.8122048788038361,2.0,1.0,0.9149563080065809,0.8060305123702133,0.93266085012881,0.9609154096326558,False
42,right,RCA,T1,apport,False,0.8119690695326764,2.0,1.0,0.9130822413090608,0.8060305123702133,0.9309778540858796,0.9609154096326558,False
42,right,RCA,T4,leaky,False,0.8204584939007193,3.0,3.0,0.8233561162963007,0.8225124196552727,0.9966638883366437,,
42,right,RCA,T4,share,False,0.8118590931663551,2.0,2.0,0.8245383064046469,0.7986491739190029,0.9957608759033422,,
42,right,RCA,T4,leaf3,False,0.8122048788038361,2.0,2.0,0.825095230706163,0.7985860155239017,0.995760793071983,,
42,right,RCA,T4,apport,False,0.8119690695326764,2.0,2.0,0.8247151576262883,0.7986159798542894,0.9957608328883051,,
43,left,LAD,T1,leaky,False,0.8583846184821088,8.0,7.0,0.9089571348250566,0.8761301231645161,0.8849167830093704,1.058415353403922,True
43,left,LAD,T1,share,False,0.8330140267719346,7.0,6.0,0.9156906861241525,0.8715826699104358,0.8822992427608131,1.058415353403922,True
43,left,LAD,T1,leaf3,False,0.894607074199765,7.0,6.0,0.9608905646680134,0.952640647588736,0.9614977198095327,1.058415353403922,True
43,left,LAD,T1,apport,False,0.8156941300725369,7.0,6.0,0.918541187040174,0.8749523944863443,0.8931700036579862,1.058415353403922,True
43,left,LAD,T4,leaky,False,0.8583846184821088,8.0,8.0,0.8579715182014473,0.8935105968599981,0.9959222878741038,,
43,left,LAD,T4,share,False,0.8330140267719346,7.0,7.0,0.8605875784634475,0.819028119552723,0.8185805328957932,,
43,left,LAD,T4,leaf3,False,0.894607074199765,7.0,7.0,0.903053563777223,0.8916038692006326,0.8915841079613793,,
43,left,LAD,T4,apport,False,0.8156941300725369,7.0,7.0,0.8440071515923931,0.8043964538695092,0.8042464655540116,,
43,left,LCX,T1,leaky,False,0.8180729234834703,8.0,7.0,0.8538858969851517,0.8424919326800703,0.8591345523839798,0.8942709757388136,False
43,left,LCX,T1,share,False,0.7474490406175525,7.0,6.0,0.8057187906569907,0.7472133527038219,0.7918207463519528,0.8942709757388136,False
43,left,LCX,T1,leaf3,False,0.6998538380047142,7.0,6.0,0.7740637025917169,0.7362582126489967,0.7893373392709628,0.8942709757388136,False
43,left,LCX,T1,apport,False,0.7692203028495795,7.0,6.0,0.824033952294343,0.7956419487209163,0.8291441778880314,0.8942709757388136,False
43,left,LCX,T4,leaky,False,0.8180729234834703,8.0,8.0,0.8169774741139996,0.8505727123235529,0.9978250549934727,,
43,left,LCX,T4,share,False,0.7474490406175525,7.0,6.0,0.7502492383603964,0.7321145824183599,0.7220019711871268,,
43,left,LCX,T4,leaf3,False,0.6998538380047142,7.0,6.0,0.7049537650229903,0.7339219973537808,0.7746253457165458,,
43,left,LCX,T4,apport,False,0.7692203028495795,7.0,6.0,0.7709143807151805,0.7774425405820856,0.7861354406358915,,
43,right,RCA,T4,leaky,False,0.8178659273201992,3.0,3.0,0.8192161568862281,0.8425281795145027,0.9974565309940799,,
