scan,side,T,r_leaf,label,w_share,w_leaf3,origin_r,is_main
878,left,0.75,0.7511019231281472,LCX,0.25739433593163247,0.1341425865641788,,True
878,left,0.75,0.7517376606343701,LAD,0.5108796960976909,0.13448349239450477,,True
878,left,0.75,0.7614204160794356,D1,0.2317259679706769,0.13974735820236112,,False
878,right,0.75,0.7502578348001039,R-PLA,1.0,0.14031419081774335,,False
844,left,0.75,0.7529487216438439,LCX,0.1765656310256368,0.11899700028150056,,True
844,left,0.75,0.7564875005681012,OM1,0.17808331131331628,0.12068271795172525,,False
844,left,0.75,0.7583045109003004,D1,0.2084834036788716,0.12155441323018899,,False
844,left,0.75,0.7517069284000252,LAD,0.25414344955515566,0.11840920687784477,,True
844,left,0.75,0.7577727624131364,D2,0.18272420442701942,0.12129887844243188,,False
686,right,0.75,0.7538772498686175,RCA,1.0,0.09223827355169491,,True
80,right,0.75,0.75170715623186,R-PDA,1.0,0.2891292806588064,,False
3,left,0.75,0.7587983234611484,LCX,0.5793358727704943,0.16934364593274298,,True
3,left,0.75,0.7991280792940941,LAD,0.210332063614753,0.19780578583096847,,True
3,left,0.75,0.7525547637617405,D2,0.21033206361475307,0.1651977566930951,,False
